submission_id,user_id,problem_id,submission_date,status,username,signup_date,experience_level,difficulty,topic
1,2,10,2024-04-14,Solved,user_2,2024-01-29,Advanced,Easy,Arrays
2,12,6,2024-05-09,Solved,user_12,2024-01-02,Intermediate,Hard,Strings
3,7,8,2024-06-07,Solved,user_7,2024-02-08,Intermediate,Hard,Math
4,5,3,2024-05-26,Solved,user_5,2024-05-19,Advanced,Medium,Graphs
5,12,14,2024-02-15,Solved,user_12,2024-01-02,Intermediate,Hard,DP
6,18,9,2024-03-03,Failed,user_18,2024-04-16,Advanced,Hard,Strings
7,1,6,2024-05-16,Failed,user_1,2024-01-06,Beginner,Hard,Strings
8,3,8,2024-03-21,Solved,user_3,2024-04-23,Advanced,Hard,Math
9,2,10,2024-04-19,Solved,user_2,2024-01-29,Advanced,Easy,Arrays
10,17,4,2024-06-02,Failed,user_17,2024-06-07,Beginner,Medium,Math
11,1,1,2024-02-17,Failed,user_1,2024-01-06,Beginner,Medium,DP
12,11,10,2024-03-24,Failed,user_11,2024-06-04,Beginner,Easy,Arrays
13,8,13,2024-06-22,Failed,user_8,2024-01-20,Intermediate,Hard,Arrays
14,17,3,2024-04-30,Failed,user_17,2024-06-07,Beginner,Medium,Graphs
15,15,11,2024-05-13,Failed,user_15,2024-06-24,Beginner,Easy,DP
16,1,9,2024-04-14,Solved,user_1,2024-01-06,Beginner,Hard,Strings
17,12,14,2024-03-23,Failed,user_12,2024-01-02,Intermediate,Hard,DP
18,17,8,2024-02-20,Failed,user_17,2024-06-07,Beginner,Hard,Math
19,19,1,2024-04-11,Failed,user_19,2024-06-22,Beginner,Medium,DP
20,18,10,2024-02-26,Failed,user_18,2024-04-16,Advanced,Easy,Arrays
21,16,2,2024-02-13,Failed,user_16,2024-04-11,Advanced,Easy,Arrays
22,7,2,2024-06-18,Failed,user_7,2024-02-08,Intermediate,Easy,Arrays
23,8,9,2024-03-30,Solved,user_8,2024-01-20,Intermediate,Hard,Strings
24,12,13,2024-05-19,Solved,user_12,2024-01-02,Intermediate,Hard,Arrays
25,13,5,2024-03-18,Failed,user_13,2024-07-01,Beginner,Hard,Strings
26,15,5,2024-03-26,Solved,user_15,2024-06-24,Beginner,Hard,Strings
27,15,9,2024-03-26,Solved,user_15,2024-06-24,Beginner,Hard,Strings
28,17,2,2024-06-17,Solved,user_17,2024-06-07,Beginner,Easy,Arrays
29,17,7,2024-03-23,Solved,user_17,2024-06-07,Beginner,Hard,Graphs
30,20,15,2024-04-22,Solved,user_20,2024-01-07,Intermediate,Hard,Arrays
31,8,1,2024-02-18,Failed,user_8,2024-01-20,Intermediate,Medium,DP
32,19,14,2024-03-09,Failed,user_19,2024-06-22,Beginner,Hard,DP
33,13,4,2024-04-17,Failed,user_13,2024-07-01,Beginner,Medium,Math
34,16,15,2024-03-12,Solved,user_16,2024-04-11,Advanced,Hard,Arrays
35,2,6,2024-03-24,Failed,user_2,2024-01-29,Advanced,Hard,Strings
36,10,3,2024-04-26,Solved,user_10,2024-03-05,Advanced,Medium,Graphs
37,8,1,2024-03-10,Solved,user_8,2024-01-20,Intermediate,Medium,DP
38,18,13,2024-04-26,Solved,user_18,2024-04-16,Advanced,Hard,Arrays
39,16,6,2024-02-17,Failed,user_16,2024-04-11,Advanced,Hard,Strings
40,11,10,2024-03-17,Solved,user_11,2024-06-04,Beginner,Easy,Arrays
41,2,1,2024-05-22,Failed,user_2,2024-01-29,Advanced,Medium,DP
42,18,14,2024-05-11,Solved,user_18,2024-04-16,Advanced,Hard,DP
43,16,7,2024-02-16,Solved,user_16,2024-04-11,Advanced,Hard,Graphs
44,12,8,2024-03-11,Failed,user_12,2024-01-02,Intermediate,Hard,Math
45,3,11,2024-03-31,Solved,user_3,2024-04-23,Advanced,Easy,DP
46,15,6,2024-04-11,Solved,user_15,2024-06-24,Beginner,Hard,Strings
47,20,7,2024-02-17,Failed,user_20,2024-01-07,Intermediate,Hard,Graphs
48,17,7,2024-05-31,Solved,user_17,2024-06-07,Beginner,Hard,Graphs
49,3,15,2024-06-17,Solved,user_3,2024-04-23,Advanced,Hard,Arrays
50,6,13,2024-03-24,Failed,user_6,2024-07-02,Advanced,Hard,Arrays
51,8,14,2024-03-24,Failed,user_8,2024-01-20,Intermediate,Hard,DP
52,4,3,2024-03-18,Failed,user_4,2024-02-23,Advanced,Medium,Graphs
53,15,12,2024-02-16,Failed,user_15,2024-06-24,Beginner,Easy,Math
54,1,15,2024-05-07,Failed,user_1,2024-01-06,Beginner,Hard,Arrays
55,19,9,2024-06-17,Solved,user_19,2024-06-22,Beginner,Hard,Strings
56,9,15,2024-03-19,Failed,user_9,2024-03-07,Advanced,Hard,Arrays
57,19,11,2024-04-21,Failed,user_19,2024-06-22,Beginner,Easy,DP
58,12,12,2024-03-11,Failed,user_12,2024-01-02,Intermediate,Easy,Math
59,10,2,2024-02-22,Failed,user_10,2024-03-05,Advanced,Easy,Arrays
60,2,10,2024-06-21,Solved,user_2,2024-01-29,Advanced,Easy,Arrays
